Quarter,Year,Percent of mortgages that delinquent,Actively_Homeless,Percent Full
2021-Q1,2021,17,3493.125,96.020854
2021-Q2,2021,21,3469.791666667,82.604046
2021-Q3,2021,19,3810.833333333,87.587322
2021-Q4,2021,18,4079.291666667,91.872802
2022-Q1,2022,15,4321.458333333,103.339388
2022-Q2,2022,15,4423.166666667,106.578978
2022-Q3,2022,15,4385.166666667,102.777507
2022-Q4,2022,14,4446.333333333,102.276609
2023-Q1,2023,18,4806.5,105.054453
2023-Q2,2023,15,4668.875,110.867367
2023-Q3,2023,16,4545.25,107.487493
2023-Q4,2023,17,4695.416666667,105.575719
2024-Q1,2024,20,4977.458333333,105.027725
2020-Q2,2020,28,4062.095238095,72.401337884
2020-Q3,2020,28,3778.428571429,72.833644304
2020-Q4,2020,24,3775.238095238,77.722959657
2020-Q1,2020,24,4709.666666667,94.990046603
